,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
90,Victor_China_Open,2018-09-20,0,XD,6,0,63,16,8,11,,19,8.0,17,21,25.0,23.0,21.0,16.0,63,60,2,1,4,3,6,4,4,0,0,8.0,35860.0,14.0,30500.0
91,Blibli_Indonesia_Open,2019-07-16,2,XD,4,0,40,6,15,62,8.0,111,,22,20,21.0,17.0,,,43,37,2,0,4,1,4,3,0,0,1,40.0,14000.0,27.0,20940.0
92,Yonex_All_England_Open,2019-03-08,1,XD,4,0,35,0,8,76,1.0,19,6.0,21,16,21.0,12.0,,,42,28,2,0,4,0,6,4,4,0,0,19.0,9200.0,21.0,8640.0
93,Victor_China_Open,2018-09-19,0,XD,6,0,54,8,17,52,,28,7.0,21,15,19.0,21.0,21.0,16.0,61,52,2,1,3,1,7,4,1,0,1,22.0,25120.0,3.0,46590.0
94,Yonex_All_England_Open,2019-03-09,1,XD,6,0,53,0,13,76,1.0,83,,13,21,22.0,20.0,21.0,13.0,56,54,2,1,4,4,6,5,10,2,1,19.0,9200.0,15.0,10310.0
95,Blibli_Indonesia_Open,2019-07-18,2,XD,4,0,37,12,11,61,,113,8.0,21,15,21.0,14.0,,,42,29,2,0,5,0,5,4,2,7,0,9.0,31210.0,40.0,14000.0
96,Blibli_Indonesia_Open,2019-07-19,2,XD,6,0,60,12,13,5,5.0,116,,21,11,14.0,21.0,21.0,14.0,56,46,2,1,3,1,4,3,0,2,0,1.0,48250.0,17.0,25960.0
97,Yonex_All_England_Open,2019-03-07,1,XD,6,0,65,10,4,73,3.0,60,,21,12,21.0,23.0,21.0,17.0,63,52,2,1,5,2,6,4,2,1,0,4.0,19470.0,21.0,8640.0
98,Yonex_All_England_Open,2019-03-08,1,XD,4,0,46,10,13,73,3.0,116,,24,22,21.0,19.0,,,45,41,2,0,4,4,4,4,0,0,0,4.0,19470.0,24.0,7800.0
99,Blibli_Indonesia_Open,2019-07-21,2,XD,4,0,31,0,4,76,1.0,123,2.0,21,13,21.0,18.0,,,42,31,2,0,4,0,5,3,15,5,0,6.0,38620.0,8.0,32150.0
100,Yonex_All_England_Open,2019-03-07,1,XD,4,0,29,8,10,48,,62,,21,11,21.0,17.0,,,42,28,2,0,3,0,5,3,1,1,1,15.0,10310.0,14.0,10540.0
101,Yonex_All_England_Open,2019-03-06,1,XD,4,0,28,16,15,11,4.0,129,,21,11,21.0,15.0,,,42,26,2,0,6,0,5,3,5,0,0,3.0,21200.0,23.0,8570.0
102,Blibli_Indonesia_Open,2019-07-17,2,XD,4,0,28,8,12,65,,102,,21,13,21.0,11.0,,,42,24,2,0,4,0,6,2,0,0,0,17.0,25960.0,,
103,Yonex_All_England_Open,2019-03-07,1,XD,4,0,29,16,14,11,4.0,101,,21,9,21.0,11.0,,,42,20,2,0,3,0,7,2,1,0,0,3.0,21200.0,18.0,9390.0
104,Victor_China_Open,2019-09-17,0,XD,6,0,57,8,17,53,,112,,21,18,16.0,21.0,21.0,12.0,58,51,2,1,6,1,5,5,2,5,1,11.0,44070.0,10.0,44490.0
105,Blibli_Indonesia_Open,2019-07-18,2,XD,4,0,34,8,23,65,,74,,21,14,21.0,18.0,,,42,32,2,0,5,0,6,3,1,0,1,17.0,25960.0,15.0,28450.0
106,Blibli_Indonesia_Open,2019-07-20,2,XD,4,0,43,0,17,68,2.0,9,5.0,21,13,22.0,20.0,,,43,33,2,0,3,0,4,4,8,2,1,8.0,32150.0,1.0,48250.0
