,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
54,Blibli_Indonesia_Open,2018-07-05,2,MS,4,0,40,9,7,13,,3,,24,22,21.0,13.0,,,45,35,2,0,4,1,4,7,2,0,1,54.0,10630.0,18.0,20670.0
55,Victor_China_Open,2018-09-23,0,MS,4,0,63,7,13,1,,23,3.0,23,21,21.0,19.0,,,44,40,2,0,3,1,6,4,4,11,1,16.0,28550.0,13.0,29050.0
56,Blibli_Indonesia_Open,2018-07-05,2,MS,6,0,64,7,4,53,,7,6.0,21,13,14.0,21.0,21.0,18.0,56,52,2,1,9,3,5,4,4,5,0,1.0,36620.0,2.0,32490.0
57,Yonex_All_England_Open,2018-03-15,1,MS,4,0,51,1,19,4,4.0,24,,21,18,21.0,14.0,,,42,32,2,0,4,0,5,6,2,1,0,33.0,7260.0,45.0,5560.0
58,Victor_China_Open,2018-09-18,0,MS,4,0,30,3,19,54,1.0,24,,21,12,21.0,15.0,,,42,27,2,0,4,0,4,2,4,0,1,13.0,29050.0,10.0,29560.0
59,Yonex_All_England_Open,2018-03-15,1,MS,4,0,38,1,14,47,7.0,34,,21,11,21.0,19.0,,,42,30,2,0,4,0,5,5,3,1,0,8.0,14100.0,50.0,4970.0
60,Victor_China_Open,2018-09-21,0,MS,4,0,28,9,9,17,3.0,25,7.0,21,9,21.0,11.0,,,42,20,2,0,6,0,9,3,15,4,0,13.0,29050.0,41.0,19100.0
61,Victor_China_Open,2018-09-21,0,MS,4,0,39,2,14,6,5.0,62,4.0,21,17,21.0,14.0,,,42,31,2,0,2,0,6,5,2,8,0,2.0,46490.0,25.0,26030.0
62,Victor_China_Open,2018-09-18,0,MS,6,0,60,3,14,11,,33,,18,21,21.0,17.0,21.0,13.0,60,51,2,1,4,1,8,4,8,2,0,21.0,27010.0,61.0,13980.0
63,Victor_China_Open,2018-09-20,0,MS,4,0,28,2,19,6,5.0,20,,21,14,21.0,11.0,,,42,25,2,0,3,0,6,2,6,1,0,2.0,46490.0,3.0,44250.0
64,Victor_China_Open,2018-09-18,0,MS,6,0,75,1,3,4,6.0,13,,20,22,21.0,19.0,21.0,13.0,62,54,2,1,3,1,6,6,2,0,1,39.0,19520.0,11.0,29230.0
65,Yonex_All_England_Open,2018-03-14,1,MS,4,0,41,2,19,55,,66,,21,17,21.0,18.0,,,42,35,2,0,4,0,6,5,2,0,0,10.0,12240.0,42.0,4970.0
