,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
224,Siminvest_Indonesia_Open_2021_New_,2021-11-26,2,WS,6,0,72,17,14,37,5.0,1,1.0,21,6,21.0,23.0,21.0,11.0,63,40,2,1,3,4,11,4,4,10,0,2.0,35200.0,3.0,29600.0
225,Yonex_All_England_Open,2018-03-14,1,WS,4,0,38,11,5,23,,44,,21,15,21.0,12.0,,,42,27,2,0,2,0,6,3,3,0,1,,,5.0,13270.0
226,Siminvest_Indonesia_Open_2021_New_,2021-11-23,2,WS,4,0,31,15,18,55,,28,,21,9,21.0,10.0,,,42,19,2,0,2,0,7,3,1,0,0,16.0,16850.0,27.0,11220.0
227,Yonex_All_England_Open,2020-03-12,1,WS,4,0,31,3,12,51,2.0,24,,22,20,21.0,16.0,,,43,36,2,0,0,0,0,0,8,0,1,26.0,7800.0,23.0,8290.0
228,Siminvest_Indonesia_Open_2021_New_,2021-11-27,2,WS,4,0,50,11,25,1,4.0,58,5.0,21,19,21.0,19.0,,,42,38,2,0,0,0,0,0,8,0,1,14.0,17900.0,2.0,35200.0
229,Siminvest_Indonesia_Open_2021_New_,2021-11-23,2,WS,4,0,37,10,14,45,8.0,66,,21,14,21.0,14.0,,,42,28,2,0,2,0,9,4,1,2,0,21.0,14150.0,67.0,2220.0
230,Siminvest_Indonesia_Open_2021_New_,2021-11-27,2,WS,6,0,54,17,11,41,2.0,60,3.0,15,21,21.0,9.0,21.0,14.0,57,44,2,1,3,1,6,4,8,4,1,7.0,21050.0,4.0,28650.0
231,Siminvest_Indonesia_Open_2021_New_,2021-11-24,2,WS,4,0,31,11,2,46,,52,6.0,21,11,21.0,9.0,,,42,20,2,0,2,0,8,2,0,1,1,68.0,2660.0,47.0,6420.0
232,Yonex_All_England_Open,2021-03-17,1,WS,4,0,37,10,5,3,,44,,21,16,21.0,10.0,,,42,26,2,0,3,0,6,3,3,2,1,,,9.0,2750.0
233,Siminvest_Indonesia_Open_2021_New_,2021-11-23,2,WS,4,0,50,17,12,25,,84,,21,18,21.0,19.0,,,42,37,2,0,2,0,4,5,1,1,0,6.0,23820.0,68.0,2660.0
234,Siminvest_Indonesia_Open_2021_New_,2021-11-26,2,WS,6,0,66,8,15,39,3.0,70,,14,21,21.0,19.0,21.0,14.0,56,54,2,1,5,1,9,7,2,0,0,4.0,28650.0,68.0,2660.0
235,Siminvest_Indonesia_Open_2021_New_,2021-11-24,2,WS,6,0,56,10,12,2,,21,,21,14,14.0,21.0,21.0,11.0,56,46,2,1,2,1,7,4,0,0,0,68.0,2660.0,68.0,2660.0
236,Siminvest_Indonesia_Open_2021_New_,2021-11-25,2,WS,4,0,25,11,8,1,4.0,46,,21,8,21.0,10.0,,,42,18,2,0,3,0,14,4,3,0,0,14.0,17900.0,28.0,11070.0
237,Yonex_All_England_Open,2020-03-11,1,WS,4,0,46,11,25,48,,55,,23,21,21.0,10.0,,,44,31,2,0,2,2,12,3,10,3,0,27.0,7490.0,35.0,5820.0
238,Siminvest_Indonesia_Open_2021_New_,2021-11-26,2,WS,4,0,39,17,14,41,2.0,3,,21,17,21.0,12.0,,,42,29,2,0,2,0,5,3,1,0,0,7.0,21050.0,68.0,2660.0
239,Siminvest_Indonesia_Open_2021_New_,2021-11-28,2,WS,4,0,46,11,25,1,4.0,63,2.0,21,17,22.0,20.0,,,43,37,2,0,12,0,6,7,5,1,1,14.0,17900.0,7.0,21050.0
240,Siminvest_Indonesia_Open_2021_New_,2021-11-25,2,WS,6,0,60,17,12,37,5.0,24,,11,21,21.0,9.0,22.0,20.0,54,50,2,1,4,2,7,6,2,4,0,2.0,35200.0,23.0,12720.0
241,Yonex_All_England_Open,2019-03-06,1,WS,4,0,35,19,25,5,,55,,21,17,21.0,14.0,,,42,31,2,0,3,0,5,4,3,3,1,44.0,3850.0,15.0,8570.0
242,Yonex_All_England_Open,2021-03-17,1,WS,4,0,29,17,13,37,6.0,35,,21,10,21.0,9.0,,,42,19,2,0,0,0,0,0,0,0,0,3.0,4900.0,9.0,2750.0
243,Siminvest_Indonesia_Open_2021_New_,2021-11-23,2,WS,4,0,24,10,27,0,1.0,47,,21,13,21.0,10.0,,,42,23,2,0,5,0,9,4,0,1,0,3.0,29600.0,55.0,3600.0
244,Yonex_All_England_Open,2022-03-17,1,WS,4,0,46,3,25,51,1.0,8,,21,19,22.0,20.0,,,43,39,2,0,2,2,8,4,16,4,1,44.0,2750.0,5.0,10870.0
245,Yonex_All_England_Open,2020-03-11,1,WS,4,0,31,17,16,41,5.0,71,,21,9,21.0,11.0,,,42,20,2,0,4,0,6,2,6,0,0,4.0,16650.0,50.0,2750.0
246,Yonex_All_England_Open,2022-03-18,1,WS,4,0,35,3,14,51,1.0,56,5.0,21,10,21.0,11.0,,,42,21,2,0,3,0,7,3,8,6,0,44.0,2750.0,,
247,Yonex_All_England_Open,2021-03-18,1,WS,6,0,41,19,25,5,,74,,7,21,21.0,13.0,21.0,9.0,49,43,2,1,0,0,0,0,2,2,0,5.0,3850.0,9.0,2750.0
248,Yonex_All_England_Open,2020-03-11,1,WS,6,0,53,4,25,29,,36,,21,18,19.0,21.0,21.0,9.0,61,48,2,1,3,1,5,4,1,1,1,21.0,8570.0,10.0,12550.0
249,Yonex_All_England_Open,2022-03-17,1,WS,4,0,42,10,3,35,5.0,25,,21,15,21.0,18.0,,,42,33,2,0,3,0,5,4,2,1,1,,,44.0,2750.0
250,Yonex_All_England_Open,2021-03-17,1,WS,4,0,30,17,7,41,4.0,34,,21,14,21.0,16.0,,,42,30,2,0,2,0,6,3,0,0,1,,,17.0,1670.0
251,Yonex_All_England_Open,2020-03-11,1,WS,6,0,58,10,15,3,,30,,12,21,21.0,16.0,21.0,18.0,54,55,2,1,2,1,5,4,3,4,1,15.0,10720.0,12.0,12390.0
252,Siminvest_Indonesia_Open_2021_New_,2021-11-24,2,WS,6,0,68,6,26,56,,54,,19,21,23.0,21.0,21.0,13.0,63,55,2,1,2,3,4,6,2,3,0,11.0,18380.0,19.0,14510.0
253,Yonex_All_England_Open,2022-03-19,1,WS,4,0,40,11,4,1,4.0,75,1.0,21,19,21.0,13.0,,,42,32,2,0,6,0,4,6,11,2,0,24.0,4900.0,44.0,2750.0
254,Siminvest_Indonesia_Open_2021_New_,2021-11-23,2,WS,4,0,39,17,0,37,5.0,41,,21,12,21.0,12.0,,,42,24,2,0,4,0,9,3,3,0,0,2.0,35200.0,8.0,20510.0
255,Siminvest_Indonesia_Open_2021_New_,2021-11-25,2,WS,4,0,36,10,25,2,,8,7.0,21,7,22.0,20.0,,,43,27,2,0,2,1,10,5,0,0,1,68.0,2660.0,1.0,36000.0
256,Yonex_All_England_Open,2020-03-11,1,WS,4,0,36,10,2,35,4.0,52,,21,12,21.0,12.0,,,42,24,2,0,3,0,6,4,9,4,0,19.0,8640.0,37.0,5040.0
257,Yonex_All_England_Open,2022-03-16,1,WS,4,0,42,8,3,39,6.0,80,,21,18,21.0,13.0,,,42,31,2,0,4,0,9,3,1,2,0,2.0,16170.0,60.0,1670.0
