,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
56,Victor_China_Open,2018-09-20,China,WS,4,0,30,China,Russia,He Bing Jiao,7.0,Evgeniya Kosetskaya,,21,16,21.0,15.0,,,42,31,2,0,2,0,7,4,0,0,0,14,32210,32,22630
57,Blibli_Indonesia_Open,2018-07-04,Indonesia,WS,4,0,33,Scotland,Indonesia,Kirsty Gilmour,,Lyanny Alessandra Mainaky,,21,15,21.0,5.0,,,42,20,2,0,3,0,8,4,0,0,1,43,10490,29,13320
58,Yonex_All_England_Open,2018-03-15,England,WS,4,0,41,Spain,Japan,Carolina Marin,5.0,Saena Kawakami,,21,13,21.0,17.0,,,42,30,2,0,8,0,5,6,1,0,0,4,16500,59,3850
59,Yonex_All_England_Open,2019-03-06,England,WS,4,0,40,Japan,Indonesia,Nozomi Okuhara,2.0,Gregoria Mariska Tunjung,,21,17,21.0,16.0,,,42,33,2,0,2,0,5,4,4,3,0,19,7260,27,5820
60,Yonex_All_England_Open,2018-03-15,England,WS,4,0,47,Japan,Malaysia,Aya Ohori,,Goh Jin Wei,,24,22,21.0,18.0,,,45,40,2,0,5,1,5,4,2,1,1,26,8570,9,13060
61,Blibli_Indonesia_Open,2018-07-04,Indonesia,WS,4,0,29,China,Hongkong,He Bing Jiao,8.0,Cheung Ngan Yi,,21,19,21.0,13.0,,,42,32,2,0,2,0,6,4,0,1,1,27,14460,15,18210
62,Victor_China_Open,2018-09-18,China,WS,4,0,26,India,Japan,Pusarla V. Sindhu,3.0,Saena Kawakami,,21,15,21.0,13.0,,,42,28,2,0,6,0,6,3,2,0,0,2,43340,35,20940
63,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,29,Japan,Chinesetaipei,Nozomi Okuhara,,Chiang Ying Li,,21,11,21.0,11.0,,,42,22,2,0,2,0,6,4,0,0,0,20,16540,62,8290
64,Yonex_All_England_Open,2019-03-06,England,WS,6,0,80,Korea,India,Sung Jihyun,,Pusarla V. Sindhu,5.0,21,16,20.0,22.0,21.0,18.0,62,56,2,1,10,1,8,5,7,9,0,19,7260,37,5040
65,Victor_China_Open,2018-09-21,China,WS,6,0,55,Japan,Indonesia,Nozomi Okuhara,8.0,Gregoria Mariska Tunjung,,21,15,19.0,21.0,21.0,12.0,61,48,2,1,3,2,7,4,4,3,0,9,34860,23,26830
66,Blibli_Indonesia_Open,2018-07-05,Indonesia,WS,4,0,36,India,Japan,Pusarla V. Sindhu,3.0,Aya Ohori,,21,17,21.0,14.0,,,42,31,2,0,3,0,7,4,12,1,0,8,21240,11,20070
67,Victor_China_Open,2018-09-20,China,WS,4,0,34,Indonesia,Usa,Gregoria Mariska Tunjung,,Beiwen Zhang,,23,21,22.0,20.0,,,45,41,2,0,4,2,6,11,5,2,1,23,26830,8,35860
68,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,39,Canada,Denmark,Michelle Li,,Mia Blichfeldt,,21,18,21.0,17.0,,,42,35,2,0,2,0,6,5,2,2,0,9,20970,10,20140
69,Yonex_All_England_Open,2019-03-07,England,WS,6,0,76,Korea,Hongkong,Sung Jihyun,,Cheung Ngan Yi,,21,11,18.0,21.0,21.0,18.0,60,50,2,1,2,1,6,4,5,1,0,19,7260,39,4970
70,Yonex_All_England_Open,2018-03-14,England,WS,4,0,33,Japan,Hongkong,Sayaka Sato,,Cheung Ngan Yi,,21,10,21.0,14.0,,,42,24,2,0,4,0,6,4,4,1,1,33,5820,15,8640
71,Blibli_Indonesia_Open,2018-07-04,Indonesia,WS,4,0,27,Denmark,India,Line Højmark Kjaersfeldt,,Vaishnavi Reddy Jakka,,21,12,21.0,10.0,,,42,22,2,0,5,0,6,3,0,0,0,17,17940,48,9980
72,Yonex_All_England_Open,2019-03-07,England,WS,4,0,39,Japan,Denmark,Akane Yamaguchi,4.0,Mia Blichfeldt,,21,18,21.0,14.0,,,42,32,2,0,2,0,5,5,10,0,1,27,5820,23,7000
73,Blibli_Indonesia_Open,2018-07-04,Indonesia,WS,6,0,52,Thailand,Chinesetaipei,Busanan Ongbamrungphan,,Pai Yu Po,,15,21,21.0,16.0,21.0,13.0,57,50,2,1,7,4,7,6,6,1,0,31,13090,32,12950
74,Yonex_All_England_Open,2019-03-06,England,WS,4,0,28,Chinesetaipei,Canada,Tai Tzu Ying,1.0,Michelle Li,,21,12,21.0,15.0,,,42,27,2,0,2,0,7,3,8,2,1,37,5040,26,6070
75,Victor_China_Open,2018-09-18,China,WS,4,0,34,Japan,Chinesetaipei,Aya Ohori,,Pai Yu Po,,21,11,21.0,18.0,,,42,29,2,0,4,0,4,4,4,0,0,13,32570,39,18610
76,Blibli_Indonesia_Open,2018-07-05,Indonesia,WS,6,0,62,Scotland,Japan,Kirsty Gilmour,,Sayaka Sato,,21,19,17.0,21.0,21.0,14.0,59,54,2,1,2,4,5,6,2,1,1,43,10490,21,16120
77,Blibli_Indonesia_Open,2018-07-05,Indonesia,WS,6,0,58,Japan,Japan,Akane Yamaguchi,2.0,Nozomi Okuhara,,21,9,14.0,21.0,24.0,22.0,59,52,2,1,4,7,6,6,7,11,0,5,23620,20,16540
78,Victor_China_Open,2018-09-18,China,WS,6,0,44,Russia,Chinesetaipei,Evgeniya Kosetskaya,,Lee Chia Hsin,,21,16,18.0,21.0,22.0,20.0,61,57,2,1,5,1,4,4,0,1,0,32,22630,34,21700
79,Victor_China_Open,2018-09-19,China,WS,4,0,34,Spain,Denmark,Carolina Marin,6.0,Mia Blichfeldt,,21,13,21.0,13.0,,,42,26,2,0,2,0,11,4,4,2,0,15,32150,16,31750
80,Yonex_All_England_Open,2019-03-07,England,WS,4,0,31,Chinesetaipei,Usa,Tai Tzu Ying,1.0,Beiwen Zhang,,21,15,21.0,14.0,,,42,29,2,0,3,0,5,6,9,3,0,37,5040,44,3850
81,Victor_China_Open,2018-09-20,China,WS,6,0,54,Spain,Japan,Carolina Marin,6.0,Sayaka Takahashi,,21,16,14.0,21.0,21.0,9.0,56,46,2,1,2,1,6,7,5,1,1,15,32150,5,39340
82,Yonex_All_England_Open,2018-03-15,England,WS,6,0,49,Japan,Japan,Akane Yamaguchi,2.0,Sayaka Sato,,18,21,21.0,10.0,21.0,12.0,60,43,2,1,4,3,7,3,4,2,0,7,13420,26,8570
83,Yonex_All_England_Open,2018-03-14,England,WS,4,0,26,Japan,Russia,Saena Kawakami,,Evgeniya Kosetskaya,,21,9,21.0,11.0,,,42,20,2,0,3,0,9,3,0,0,1,,,25,7120
84,Victor_China_Open,2018-09-19,China,WS,4,0,30,Thailand,Malaysia,Pornpawee Chochuwong,,Soniia Cheah,,21,15,21.0,12.0,,,42,27,2,0,5,0,4,3,0,1,0,10,34610,37,19490
85,Yonex_All_England_Open,2019-03-08,England,WS,4,0,38,Chinesetaipei,India,Tai Tzu Ying,1.0,Saina Nehwal,8.0,21,15,21.0,19.0,,,42,34,2,0,5,0,7,4,15,5,1,37,5040,2,15620
86,Blibli_Indonesia_Open,2019-07-16,Indonesia,WS,4,0,31,Chinesetaipei,Singapore,Tai Tzu Ying,1.0,Yeo Jia Min,,21,12,21.0,18.0,,,42,30,2,0,2,0,5,4,3,0,0,5,35440,24,24510
87,Yonex_All_England_Open,2019-03-06,England,WS,6,0,75,China,Thailand,Chen Xiao Xin,,Ratchanok Intanon,7.0,21,23,24.0,22.0,21.0,14.0,66,59,2,1,9,2,4,8,0,8,1,24,6710,4,14240
88,Victor_China_Open,2018-09-20,China,WS,4,0,42,Japan,Thailand,Nozomi Okuhara,8.0,Pornpawee Chochuwong,,21,9,22.0,20.0,,,43,29,2,0,3,0,5,4,4,2,0,9,34860,10,34610
89,Yonex_All_England_Open,2019-03-10,England,WS,4,0,41,China,Chinesetaipei,Chen Yu Fei,3.0,Tai Tzu Ying,1.0,21,17,21.0,17.0,,,42,34,2,0,2,0,6,4,8,19,0,25,6420,37,5040
90,Yonex_All_England_Open,2019-03-08,England,WS,6,0,66,Japan,China,Akane Yamaguchi,4.0,He Bing Jiao,6.0,21,16,19.0,21.0,21.0,12.0,61,49,2,1,3,1,7,4,12,4,1,27,5820,7,11460
